Cantidad,Fecha,Producto,Venta,Compra,Utilidad
,20/03/2024,,360.00,337.50,22.50
6.00,,HUEVO CRIO CONO 30PZ,360.00,337.50,22.50
,20/03/2024,,80.00,15.00,65.00
1.00,,Chip Telcel Con Saldo Activado 50 Saldo,80.00,15.00,65.00
,20/03/2024,,30.00,24.45,5.55
0.28,,Queso Fresco,30.00,24.45,5.55
,20/03/2024,,19.00,14.79,4.21
1.00,,Fabuloso 500g Lavanda,19.00,14.79,4.21
,20/03/2024,,31.00,25.81,5.19
1.00,,Salsa Casera Herdez. 210g,11.00,8.83,2.17
0.16,,Queso De Hebra,20.00,16.98,3.02
,20/03/2024,,17.50,12.60,4.90
1.00,,Chile En Rajas La Costeña 220g,17.50,12.60,4.90
,20/03/2024,,50.00,18.47,31.53
1.00,,"Manos Libres Economicos bolsa 6986291173033, 6972821568875",50.00,18.47,31.53
,20/03/2024,,30.00,19.50,10.50
1.00,,Head Shoulders Suave  Y Manjable 180ml,30.00,19.50,10.50
,20/03/2024,,39.00,34.69,4.31
1.00,,Ace Accion Instantanea 900 gr,39.00,34.69,4.31
,20/03/2024,,102.00,85.52,16.48
1.00,,Pedigree Adulto 1kg,49.00,42.42,6.58
1.00,,Whiskas 1kg,53.00,43.10,9.90
,20/03/2024,,55.00,44.48,10.52
1.00,,Coca Retornable 3LTS 3068,38.00,31.04,6.96
1.00,,Takis original mas 70 gr,17.00,13.44,3.56
,20/03/2024,,30.00,24.45,5.55
0.28,,Queso Fresco,30.00,24.45,5.55
,20/03/2024,,30.00,24.45,5.55
0.28,,Queso Fresco,30.00,24.45,5.55
,20/03/2024,,13.50,11.62,1.88
0.50,,Azucar 1 Kg,13.50,11.62,1.88
,20/03/2024,,38.00,31.04,6.96
1.00,,Coca Retornable 3LTS 3068,38.00,31.04,6.96
,20/03/2024,,18.00,14.55,3.45
1.00,,Paketaxo Mezcladito Ch 70gr,18.00,14.55,3.45
,20/03/2024,,23.00,18.48,4.52
1.00,,Pepsi 1.5Lt,23.00,18.48,4.52
,20/03/2024,,9.00,4.08,4.92
1.00,,Bolsa Basura Grande 1pza,9.00,4.08,4.92
,20/03/2024,,28.00,22.96,5.04
1.00,,Pan Molido Crujiente 175g,28.00,22.96,5.04
,20/03/2024,,6.00,2.48,3.52
4.00,,Hojas De Colores,6.00,2.48,3.52
,20/03/2024,,16.00,10.92,5.08
1.00,,Chips Papatina Blue Heat 31g,16.00,10.92,5.08
,20/03/2024,,14.00,10.33,3.67
1.00,,Mantequilla La Villita 360gr,14.00,10.33,3.67
,20/03/2024,,14.00,11.45,2.55
1.00,,Coca Cola 400ml,14.00,11.45,2.55
,20/03/2024,,6.00,1.89,4.11
1.00,,Folder Carta Beige,6.00,1.89,4.11
,20/03/2024,,11.00,8.25,2.75
1.00,,Sedalmerck Max Par,11.00,8.25,2.75
,20/03/2024,,38.00,30.45,7.55
1.00,,Coca Retornable 2.5 Lts,35.00,29.25,5.75
3.00,,Vaso Individual del #8 1pza,3.00,1.20,1.80
,20/03/2024,,11.00,8.41,2.59
0.50,,Harina Selecta 1kg,11.00,8.41,2.59
,20/03/2024,,40.00,33.96,6.04
0.32,,Queso De Hebra,40.00,33.96,6.04
,20/03/2024,,17.00,11.11,5.89
1.00,,Pepsi 600 Ml,17.00,11.11,5.89
,20/03/2024,,1.00,0.40,0.60
1.00,,Vaso Individual del #8 1pza,1.00,0.40,0.60
,20/03/2024,,42.00,39.00,3.00
1.00,,Epura Garrafon 20 Lts,42.00,39.00,3.00
,20/03/2024,,18.00,11.51,6.49
1.00,,Chivacola Botella Omnilife 600ml,18.00,11.51,6.49
,20/03/2024,,77.00,57.29,19.71
0.43,,Jamon Rebanado Suly 1kg,30.00,23.92,6.08
0.23,,Queso Fresco,25.00,20.37,4.63
2.00,,Yomi Chocolate 190ml,22.00,13.00,9.00
,20/03/2024,,32.00,28.13,3.87
1.00,,HUEVO CRIO 1/2 CONO,32.00,28.13,3.87
,20/03/2024,,6.00,4.92,1.08
1.00,,Crossantines 32g,6.00,4.92,1.08
,20/03/2024,,56.00,48.82,7.18
1.00,,Patrona 500 ml,24.00,20.69,3.31
1.00,,HUEVO CRIO 1/2 CONO,32.00,28.13,3.87
,20/03/2024,,107.00,82.75,24.25
1.00,,Chicharos Clemente Jacques 220gr,11.00,8.95,2.05
3.00,,Totopos 280G Normal,96.00,73.80,22.20
,20/03/2024,,30.00,23.21,6.79
1.00,,Sidral mundet fresa kiwi 2 lts,30.00,23.21,6.79
,20/03/2024,,34.50,24.55,9.95
1.00,,Coca Cola 600ml,19.00,15.20,3.80
1.00,,Cerillo Clasico Individual,3.50,1.93,1.57
2.00,,Cigarro Marlboro Individual 1Pza,12.00,7.42,4.58
,20/03/2024,,16.00,12.82,3.18
1.00,,Valle Frut Citrus 600ML 330683,16.00,12.82,3.18
,20/03/2024,,40.00,32.60,7.40
0.37,,Queso Fresco,40.00,32.60,7.40
,20/03/2024,,17.00,12.85,4.15
1.00,,Cepillo Dental Oral B Pro 1pza,17.00,12.85,4.15
,20/03/2024,,22.00,16.47,5.53
1.00,,Blanca Nieves 500g,22.00,16.47,5.53
,20/03/2024,,22.00,11.20,10.80
1.00,,"Sobre De Plastico T/Carta Rondana 25343, 25340, 25346",22.00,11.20,10.80
,20/03/2024,,50.00,40.74,9.26
0.46,,Queso Fresco,50.00,40.74,9.26
,20/03/2024,,67.00,55.02,11.98
1.00,,Jamon Rebanado Suly 1kg,67.00,55.02,11.98
,20/03/2024,,49.00,32.00,17.00
1.00,,BOLSA BASURA GRANDE 1KG 90x120,49.00,32.00,17.00
,20/03/2024,,126.00,104.15,21.85
0.80,,Queso De Hebra,100.00,84.85,15.15
2.00,,QUESO CASTEL PAQ 10PZA,26.00,19.30,6.70
,20/03/2024,,243.00,223.45,19.55
228.00,,Abono Clientes Pay Joy,228.00,223.44,4.56
1.00,,Comision Pay Joy,15.00,0.01,14.99
,20/03/2024,,32.00,24.70,7.30
1.00,,Fanta Fresa 600ml,18.00,13.57,4.43
1.00,,Cheetos Nacho 52gr,14.00,11.13,2.87
,20/03/2024,,999.60,976.50,23.10
1050.00,,MASTERXTREME MAYOREO RECARGA,999.60,976.50,23.10
,20/03/2024,,26.00,23.96,2.04
1.00,,Chile En Rajas La Costeña 380g,26.00,23.96,2.04
,20/03/2024,,26.00,21.60,4.40
1.00,,Tang De Uva 25g,6.00,4.63,1.37
0.16,,Queso De Hebra,20.00,16.97,3.03
,20/03/2024,,35.00,29.25,5.75
1.00,,Coca Retornable 2.5 Lts,35.00,29.25,5.75
,20/03/2024,,72.00,66.52,5.48
2.00,,Envios De Recargas,2.00,0.02,1.98
70.00,,RECARGAS XTREME (MULTICEL-MINISUPER),70.00,66.50,3.50
,20/03/2024,,999.60,976.50,23.10
1050.00,,MASTERXTREME MAYOREO RECARGA,999.60,976.50,23.10
,20/03/2024,,1000.02,976.50,23.52
1050.00,,MASTER TMAC MAYOREO RECARGA,1000.02,976.50,23.52
,20/03/2024,,38.00,31.04,6.96
1.00,,Coca Retornable 3LTS 3068,38.00,31.04,6.96
,20/03/2024,,14.00,6.26,7.74
2.00,,Gelatina Lala General 125gr 020556,14.00,6.26,7.74
,20/03/2024,,31.25,26.52,4.73
0.25,,Queso De Hebra,31.25,26.52,4.73
,20/03/2024,,21.00,18.26,2.74
1.00,,Maseca Kg,21.00,18.26,2.74
,20/03/2024,,49.00,36.16,12.84
3.00,,Huevo Crio Individual 1pza,9.00,5.64,3.36
1.00,,Jamon Americano Pavo 196g 2364,40.00,30.52,9.48
,20/03/2024,,45.00,33.09,11.91
1.00,,Power Frutas 1 Lt 317660,31.00,21.96,9.04
1.00,,Churrumais mas producto 60gr,14.00,11.13,2.87
,20/03/2024,,19.00,15.25,3.75
1.00,,Emperador Chocolate 10p 109g 101104,19.00,15.25,3.75
,20/03/2024,,39.00,31.94,7.06
1.00,,Nito 1Pza 62g,15.00,12.45,2.55
1.00,,Fruts Gamesa 130gr 100714,24.00,19.49,4.51
,20/03/2024,,15.00,12.00,3.00
1.00,,yoghurt griego fresa 220g,15.00,12.00,3.00
,20/03/2024,,18.00,11.38,6.62
1.00,,Epura 1.5 lt,18.00,11.38,6.62
,20/03/2024,,50.00,44.14,5.86
1.00,,Azucar 1 Kg,26.00,23.24,2.76
1.00,,Lala deslactosada 1lit,24.00,20.90,3.10
,20/03/2024,,14.50,12.57,1.93
1.00,,Mediacrema Lala 250g,14.50,12.57,1.93
,20/03/2024,,69.50,43.84,25.66
5.00,,Gelatina Lala General 125gr 020556,35.00,15.65,19.35
1.00,,Doritos Incognito 61g,17.00,13.69,3.31
1.00,,Yoghurt Yoplait Fresa 330g 9112,17.50,14.50,3.00
,20/03/2024,,30.00,22.32,7.68
0.22,,Jamon Rebanado Suly 1kg,15.00,11.96,3.04
0.31,,Salchijocho Pavo Any Agranel,15.00,10.36,4.64
,20/03/2024,,14.00,7.66,6.34
2.00,,Borrador Mediano WS30,14.00,7.66,6.34
,20/03/2024,,14.00,11.13,2.87
1.00,,Cheetos Nacho 52gr,14.00,11.13,2.87
,20/03/2024,,40.00,31.97,8.03
2.00,,Vaso Individual del #8 1pza,2.00,0.80,1.20
1.00,,Sidral Munded Jumbo 3 Lts,38.00,31.17,6.83
,20/03/2024,,14.50,11.42,3.08
1.00,,Suavel Servitoallas de Papel,14.50,11.42,3.08
,20/03/2024,,36.00,28.41,7.59
2.00,,Coca Cola 250ml Plastico,22.00,16.96,5.04
1.00,,Coca Cola 400ml,14.00,11.45,2.55
,20/03/2024,,13.00,4.76,8.24
1.00,,Encendedor Tokay 1pza,13.00,4.76,8.24
,20/03/2024,,1159.00,1083.19,75.81
19.00,,Envios De Recargas,19.00,0.19,18.81
1140.00,,ICSI Recargas Xtreme,1140.00,1083.00,57.00
,20/03/2024,,18.00,11.13,6.87
3.00,,Cigarro Marlboro Individual 1Pza,18.00,11.13,6.87
,20/03/2024,,788.00,744.92,43.08
4.00,,COCA RETORNABLE 3LTS PAQ 6PZA,788.00,744.92,43.08
,20/03/2024,,45.00,18.60,26.40
30.00,,Hojas De Colores,45.00,18.60,26.40
,20/03/2024,,29.00,23.00,6.00
1.00,,Gel Xtreme Para Ellos 250gr,29.00,23.00,6.00
,20/03/2024,,100.00,82.23,17.77
6.00,,Huevo Crio Individual 1pza,15.00,11.28,3.72
0.29,,Jamon Rebanado Suly 1kg,20.00,15.95,4.05
1.00,,Koleston Negro Infinito 10,65.00,55.00,10.00
,20/03/2024,,21.00,12.13,8.87
1.00,,Bolsa Individual Polipapel Gde 1pza,2.00,0.64,1.36
1.00,,Jamaica bolsa 100gr,19.00,11.49,7.51
,20/03/2024,,55.00,48.44,6.56
1.00,,Azucar 1 Kg,26.00,23.24,2.76
1.00,,Runners 58g,13.00,12.60,0.40
1.00,,Hot Nuts Original 82g,16.00,12.60,3.40
,20/03/2024,,30.00,24.00,6.00
2.00,,yoghurt griego fresa 220g,30.00,24.00,6.00
,20/03/2024,,113.00,88.85,24.15
1.00,,Bolsa Individual Polipapel Gde 1pza,2.00,0.64,1.36
3.00,,Huevo Crio Individual 1pza,9.00,5.64,3.36
1.00,,Tortillina Tia Rosa 306g,25.00,20.50,4.50
0.24,,Queso De Hebra,30.00,25.45,4.55
1.00,,Doritos Nacho 61gr,17.00,13.69,3.31
1.00,,Mantequilla La Villita 360gr,14.00,10.33,3.67
1.00,,Hot Nuts Original 82g,16.00,12.60,3.40
,20/03/2024,,80.00,15.00,65.00
1.00,,Chip Telcel Con Saldo Activado 50 Saldo,80.00,15.00,65.00
,20/03/2024,,31.00,21.96,9.04
1.00,,Power Mora 1 Lt,31.00,21.96,9.04
,20/03/2024,,54.00,44.00,10.00
0.50,,Queso Fresco,54.00,44.00,10.00
,20/03/2024,,160.00,147.30,12.70
5.00,,Envios De Recargas,5.00,0.05,4.95
155.00,,RECARGAS XTREME (MULTICEL-MINISUPER),155.00,147.25,7.75
,20/03/2024,,38.00,31.13,6.87
1.00,,Coca Retornable 2.5 Lts,35.00,29.25,5.75
1.00,,Huevo Crio Individual 1pza,3.00,1.88,1.12
,20/03/2024,,38.00,31.04,6.96
1.00,,Coca Retornable 3LTS 3068,38.00,31.04,6.96
,20/03/2024,,12.00,7.42,4.58
2.00,,Cigarro Marlboro Individual 1Pza,12.00,7.42,4.58
,20/03/2024,,2.00,1.69,0.31
1.00,,Bubbaloo Pik Pop Piña Chamoy 1pz,2.00,1.69,0.31
,20/03/2024,,499.80,488.25,11.55
525.00,,MASTERXTREME MAYOREO RECARGA,499.80,488.25,11.55
,20/03/2024,,35.00,27.26,7.74
1.00,,Fanta Fresa 600ml,18.00,13.57,4.43
1.00,,Doritos Incognito 61g,17.00,13.69,3.31
,20/03/2024,,186.00,168.75,17.25
3.00,,HUEVO CRIO CONO 30PZ,186.00,168.75,17.25
,20/03/2024,,101.00,95.01,5.99
1.00,,Envios De Recargas,1.00,0.01,0.99
100.00,,RECARGAS XTREME (MULTICEL-MINISUPER),100.00,95.00,5.00
,20/03/2024,,61.00,52.64,8.36
1.00,,Maiz Palomero 500g,15.00,11.75,3.25
1.00,,Patrona 1 Litro,46.00,40.89,5.11
,20/03/2024,,22.00,18.30,3.70
1.00,,Kola Loka,22.00,18.30,3.70
,20/03/2024,,34.00,26.66,7.34
2.00,,Sopa Maruchan Camaron Habanero,34.00,26.66,7.34
,20/03/2024,,31.00,21.96,9.04
1.00,,Power Mora 1 Lt,31.00,21.96,9.04
,20/03/2024,,999.60,976.50,23.10
1050.00,,MASTERXTREME MAYOREO RECARGA,999.60,976.50,23.10
,20/03/2024,,42.00,36.10,5.90
0.14,,Jamon Rebanado Suly 1kg,10.00,7.97,2.03
1.00,,HUEVO CRIO 1/2 CONO,32.00,28.13,3.87
,20/03/2024,,29.00,22.00,7.00
1.00,,Nectar Valle De Durazno 1 Lt 333851,29.00,22.00,7.00
,20/03/2024,,43.00,30.63,12.37
2.00,,Cigarro Marlboro Individual 1Pza,12.00,7.42,4.58
1.00,,Senzao Guarana 2lts,31.00,23.21,7.79
,20/03/2024,,32.50,25.35,7.15
5.00,,Huevo Crio Individual 1pza,12.50,9.40,3.10
0.29,,Jamon Rebanado Suly 1kg,20.00,15.95,4.05
,20/03/2024,,38.00,27.85,10.15
1.00,,Nutrileche 1pza,20.00,17.34,2.66
1.00,,Resistol Bully 35g,15.00,9.03,5.97
2.00,,Clorets Menta 2.8gr 2Pastillas,3.00,1.48,1.52
,21/03/2024,,3.00,0.77,2.23
1.00,,Curita Adheciba $3.00Par,3.00,0.77,2.23
,21/03/2024,,17.00,11.88,5.12
3.00,,Huevo Crio Individual 1pza,9.00,5.64,3.36
1.00,,Pure De Tomate Del Fuerte 210 gr,8.00,6.24,1.76
,21/03/2024,,22.00,16.80,5.20
1.00,,Principe Chocolate +2,22.00,16.80,5.20
,21/03/2024,,54.00,39.63,14.37
1.00,,Nectar Valle Mango Cristal 413ml,18.00,12.18,5.82
1.00,,Snickers 52g 1pza,16.00,13.50,2.50
1.00,,Alpura Chocolate 200ml Chocopower,11.00,8.04,2.96
1.00,,Halls Cereza,9.00,5.91,3.09
,21/03/2024,,25.00,20.46,4.54
1.00,,Salchicha Pavo 266g 976,25.00,20.46,4.54
,21/03/2024,,39.00,1.45,37.55
1.00,,Frijol Michigan Mustang Kg,39.00,1.45,37.55
,21/03/2024,,25.00,16.34,8.66
1.00,,Electrolit Uva 625 Ml,25.00,16.34,8.66
,21/03/2024,,16.00,12.82,3.18
1.00,,Valle Frut Citrus 600ML 330683,16.00,12.82,3.18
,21/03/2024,,33.00,19.50,13.50
1.00,,Yomi Lala Fresa 190ml,11.00,6.50,4.50
2.00,,Yomi Chocolate 190ml,22.00,13.00,9.00
,21/03/2024,,18.00,12.04,5.96
1.00,,Agua Ciel  Mineralizada 600ml 308248,18.00,12.04,5.96
,21/03/2024,,21.00,16.68,4.32
1.00,,Tabcin Active X Par Morada,15.00,13.00,2.00
2.00,,Clorets Plus 4pastillas,6.00,3.68,2.32
,21/03/2024,,4.00,0.38,3.62
2.00,,COPIA CREDENCIAL,4.00,0.38,3.62
,21/03/2024,,14.00,6.09,7.91
1.00,,Bolsa Basura Grande 1pza,9.00,3.79,5.21
1.00,,Bolsa Basura Mediana 1pza,5.00,2.30,2.70
,21/03/2024,,2.00,0.19,1.81
1.00,,COPIA CREDENCIAL,2.00,0.19,1.81
,21/03/2024,,100.00,84.85,15.15
0.80,,Queso De Hebra,100.00,84.85,15.15
,21/03/2024,,18.00,14.28,3.72
1.00,,Trikitrakes 85g,18.00,14.28,3.72
,21/03/2024,,15.12,11.48,3.64
1.00,,Napolitano chispas 70g,15.12,11.48,3.64
,21/03/2024,,8.00,0.38,7.62
2.00,,IMPRESION A COLORES,8.00,0.38,7.62
,21/03/2024,,52.00,44.08,7.92
0.29,,Jamon Rebanado Suly 1kg,20.00,15.95,4.05
1.00,,HUEVO CRIO 1/2 CONO,32.00,28.13,3.87
,21/03/2024,,133.00,104.24,28.76
2.00,,Galletas Animalitos 200g,24.00,13.90,10.10
1.00,,Nutrileche 1pza,20.00,17.34,2.66
1.00,,Nescafe Clasico 120g,89.00,73.00,16.00
,21/03/2024,,50.50,41.00,9.50
1.00,,Yoghurt Licuado Manzana Y Granola 470g 9422,25.00,20.50,4.50
1.00,,Yoplait Licuado De Fresa 470gm 9534,25.50,20.50,5.00
,21/03/2024,,12.00,7.52,4.48
4.00,,Huevo Crio Individual 1pza,12.00,7.52,4.48
,21/03/2024,,29.00,1.00,28.00
1.00,,Chip29 Telcel Sin Saldo Activar C/50 Saldo,29.00,1.00,28.00
,21/03/2024,,725.00,675.00,50.00
1.00,,Servicio Domicilio,5.00,0.00,5.00
12.00,,HUEVO CRIO CONO 30PZ,720.00,675.00,45.00
,21/03/2024,,18.00,15.00,3.00
1.00,,Amper Energy 473ml,18.00,15.00,3.00
,21/03/2024,,999.60,976.50,23.10
1050.00,,MASTERXTREME MAYOREO RECARGA,999.60,976.50,23.10
,21/03/2024,,18.00,15.00,3.00
1.00,,Amper Predator 473ml,18.00,15.00,3.00
,21/03/2024,,10.00,7.08,2.92
1.00,,Valle Frut Citrus 355 ml 342198,10.00,7.08,2.92
,21/03/2024,,29.00,22.00,7.00
1.00,,Nectar Valle Piña 1L,29.00,22.00,7.00
,21/03/2024,,45.50,34.79,10.71
1.00,,Halls De Menta,9.00,6.04,2.96
1.00,,Sedalmerck Max Par,11.00,8.25,2.75
1.00,,Yoplait Licuado De Fresa 470gm 9534,25.50,20.50,5.00
,21/03/2024,,25.00,16.15,8.85
2.00,,Ajo 1pza,14.00,7.20,6.80
1.00,,Chicharos Clemente Jacques 220gr,11.00,8.95,2.05
,21/03/2024,,20.00,14.16,5.84
2.00,,Valle Frut Citrus 355 ml 342198,20.00,14.16,5.84
,21/03/2024,,15.00,12.00,3.00
1.00,,yoghurt griego fresa 220g,15.00,12.00,3.00
,21/03/2024,,999.60,976.50,23.10
1050.00,,MASTERXTREME MAYOREO RECARGA,999.60,976.50,23.10
,21/03/2024,,30.00,20.51,9.49
1.00,,Valle Frut Citrus 2 Litros 330461,30.00,20.51,9.49
,21/03/2024,,18.00,12.05,5.95
1.00,,Plato Cuadrado Jaguar 066,18.00,12.05,5.95
,21/03/2024,,32.00,28.13,3.87
1.00,,HUEVO CRIO 1/2 CONO,32.00,28.13,3.87
,21/03/2024,,40.00,30.71,9.29
4.00,,Vaso Individual del #8 1pza,4.00,1.60,2.40
1.00,,Valle Frut Citrus 3lt,36.00,29.11,6.89
,21/03/2024,,404.00,372.46,31.54
2.00,,Servicio Domicilio,10.00,0.00,10.00
2.00,,COCA RETORNABLE 3LTS PAQ 6PZA,394.00,372.46,21.54
,21/03/2024,,32.50,28.03,4.47
1.00,,Arroz 1kg,19.50,18.04,1.46
1.00,,Vinagre Ludy 1lt,13.00,9.99,3.01
,21/03/2024,,43.00,35.94,7.06
1.00,,Mediacrema Lala 480ml,26.00,21.99,4.01
1.00,,Queso Crema La Escondida 250g,17.00,13.95,3.05
,21/03/2024,,468.00,452.76,15.24
458.00,,ICSI Pago Servicio TMAC,458.00,448.84,9.16
1.00,,Icsi Comision Servicio TMAC 1-500,10.00,3.92,6.08
,21/03/2024,,32.00,1.71,30.29
2.00,,COPIA CREDENCIAL,4.00,0.38,3.62
7.00,,IMPRESION A COLORES,28.00,1.33,26.67
,21/03/2024,,37.00,28.09,8.91
1.00,,Pepsi Jumbo 3Lt,37.00,28.09,8.91
,21/03/2024,,38.00,31.04,6.96
1.00,,Coca Retornable 3LTS 3068,38.00,31.04,6.96
,21/03/2024,,6.00,0.57,5.43
3.00,,COPIA CREDENCIAL,6.00,0.57,5.43
,21/03/2024,,30.00,23.17,6.83
1.00,,Queso Amarillo Americano Villita 175gr 8147,30.00,23.17,6.83
,21/03/2024,,40.00,31.25,8.75
1.00,,Coca Retornable 2.5 Lts,35.00,29.25,5.75
5.00,,Vaso Individual del #8 1pza,5.00,2.00,3.00
,21/03/2024,,30.00,24.45,5.55
0.28,,Queso Fresco,30.00,24.45,5.55
,21/03/2024,,17.00,13.69,3.31
1.00,,Sabritas Adobadas 42gm,17.00,13.69,3.31
,21/03/2024,,57.00,39.87,17.13
2.00,,Agua Ciel 1.5 Lts 4721,32.00,24.08,7.92
1.00,,Electrolit Mora Azul 625ml,25.00,15.79,9.21
,21/03/2024,,38.00,31.04,6.96
1.00,,Coca Retornable 3LTS 3068,38.00,31.04,6.96
,21/03/2024,,404.00,372.46,31.54
2.00,,Servicio Domicilio,10.00,0.00,10.00
2.00,,COCA RETORNABLE 3LTS PAQ 6PZA,394.00,372.46,21.54
,21/03/2024,,15.00,10.79,4.21
1.00,,Atun Nair En Agua 140g,15.00,10.79,4.21
,21/03/2024,,62.00,56.25,5.75
1.00,,HUEVO CRIO CONO 30PZ,62.00,56.25,5.75
,21/03/2024,,124.00,112.50,11.50
2.00,,HUEVO CRIO CONO 30PZ,124.00,112.50,11.50
,21/03/2024,,34.00,27.24,6.76
1.00,,Florentinas Cajeta 83g,19.00,15.25,3.75
1.00,,Crujitos Queso Chile 42gr,15.00,11.99,3.01
,21/03/2024,,34.50,27.51,6.99
0.50,,Jamon Rebanado Suly 1kg,34.50,27.51,6.99
,21/03/2024,,404.00,372.46,31.54
2.00,,Servicio Domicilio,10.00,0.00,10.00
2.00,,COCA RETORNABLE 3LTS PAQ 6PZA,394.00,372.46,21.54
,21/03/2024,,40.00,29.84,10.16
1.00,,Pepsi Jumbo 3Lt,37.00,28.09,8.91
1.00,,Paleta cupido vero fresa,3.00,1.75,1.25
,21/03/2024,,38.00,31.04,6.96
1.00,,Coca Retornable 3LTS 3068,38.00,31.04,6.96
,21/03/2024,,365.00,337.50,27.50
1.00,,Servicio Domicilio,5.00,0.00,5.00
6.00,,HUEVO CRIO CONO 30PZ,360.00,337.50,22.50
,21/03/2024,,24.00,19.87,4.13
1.00,,Coca Cola Vidrio 1 1/4,24.00,19.87,4.13
,21/03/2024,,35.00,29.25,5.75
1.00,,Coca Retornable 2.5 Lts,35.00,29.25,5.75
,21/03/2024,,15.00,11.28,3.72
6.00,,Huevo Crio Individual 1pza,15.00,11.28,3.72
,21/03/2024,,55.00,42.85,12.15
1.00,,Kola Loka De Goterito,25.00,17.40,7.60
0.24,,Queso De Hebra,30.00,25.45,4.55
,21/03/2024,,34.00,26.66,7.34
1.00,,Big Mix 75g,17.00,13.54,3.46
1.00,,Suavicrema De Chocolate 100g,17.00,13.12,3.88
,21/03/2024,,84.00,78.00,6.00
2.00,,Epura Garrafon 20 Lts,84.00,78.00,6.00
,21/03/2024,,21.00,16.68,4.32
1.00,,Axion Liquido 400ml,21.00,16.68,4.32
,21/03/2024,,38.00,31.04,6.96
1.00,,Coca Retornable 3LTS 3068,38.00,31.04,6.96
,21/03/2024,,51.00,39.58,11.42
1.00,,Salsa Valentina 370g,19.00,13.90,5.10
1.00,,Rancheritos 60g El Mero Mero,15.00,11.99,3.01
1.00,,Dorito Dinamita flamin Hot 70gr,17.00,13.69,3.31
,21/03/2024,,70.50,57.78,12.72
1.00,,Trikitrakes 85g,18.00,14.28,3.72
3.00,,Yoghurt Yoplait Fresa 330g 9112,52.50,43.50,9.00
,21/03/2024,,6.00,0.00,6.00
1.00,,Caja Vacia De Huevo,6.00,0.00,6.00
,21/03/2024,,18.00,11.38,6.62
1.00,,Epura 1.5 lt,18.00,11.38,6.62
,21/03/2024,,34.00,26.66,7.34
2.00,,Vuala Chocolate 1pza,34.00,26.66,7.34
,21/03/2024,,12.00,7.86,4.14
1.00,,Nectar Valle Durazno Minibrick 250ml,12.00,7.86,4.14
,21/03/2024,,40.00,32.60,7.40
0.37,,Queso Fresco,40.00,32.60,7.40
,21/03/2024,,88.00,73.17,14.83
1.00,,Fresca Jumbo 3lts,38.00,31.17,6.83
1.00,,Chips Fuego 170gr,50.00,42.00,8.00
,21/03/2024,,23.00,18.48,4.52
1.00,,Pepsi 1.5Lt,23.00,18.48,4.52
,21/03/2024,,23.00,18.48,4.52
1.00,,Pepsi 1.5Lt,23.00,18.48,4.52
,21/03/2024,,30.00,26.92,3.08
1.00,,Gatorade Lima limon 1 lt,30.00,26.92,3.08
,21/03/2024,,67.00,54.45,12.55
1.00,,Coca Retornable 3LTS 3068,38.00,31.04,6.96
1.00,,Axion 250 gr,13.00,10.96,2.04
1.00,,Cloralex 950ml,16.00,12.45,3.55
,21/03/2024,,134.00,107.46,26.54
1.00,,Jamon Rebanado Suly 1kg,67.00,55.02,11.98
1.00,,QUESO CREMA 1 BARRA,53.00,42.78,10.22
1.00,,Yoghurt Yoplait Fresa 220g 9140,14.00,9.66,4.34
,21/03/2024,,70.00,59.39,10.61
0.56,,Queso De Hebra,70.00,59.39,10.61
,21/03/2024,,104.52,79.80,24.72
0.67,,Chuleta Aumada Salmi,104.52,79.80,24.72
,21/03/2024,,19.00,15.25,3.75
1.00,,Emperador Senzo Mix 93g 017700,19.00,15.25,3.75
,21/03/2024,,59.00,49.14,9.86
0.40,,Queso De Hebra,50.00,42.42,7.58
1.00,,Rocko 44g,9.00,6.72,2.28
,21/03/2024,,600.00,554.81,45.19
3.00,,Servicio Domicilio,15.00,0.00,15.00
1.00,,COCA COLA 600ML PAQ 12PZA,191.00,182.35,8.65
2.00,,COCA RETORNABLE 3LTS PAQ 6PZA,394.00,372.46,21.54
,21/03/2024,,16.00,11.64,4.36
1.00,,Chipotles Barcel MasProducto 65gr,16.00,11.64,4.36
,21/03/2024,,12.00,7.86,4.14
1.00,,Nectar Valle Mango Minibrick 250ml,12.00,7.86,4.14
,21/03/2024,,28.00,22.96,5.04
1.00,,Pan Molido Crujiente 175g,28.00,22.96,5.04
,21/03/2024,,31.00,21.96,9.04
1.00,,Power Mora 1 Lt,31.00,21.96,9.04
,21/03/2024,,202.00,186.23,15.77
1.00,,Servicio Domicilio,5.00,0.00,5.00
1.00,,COCA RETORNABLE 3LTS PAQ 6PZA,197.00,186.23,10.77
,21/03/2024,,18.00,13.57,4.43
1.00,,Fresca 600ml,18.00,13.57,4.43
,21/03/2024,,17.00,13.95,3.05
1.00,,Queso Crema La Escondida 250g,17.00,13.95,3.05
,21/03/2024,,3.00,2.52,0.48
3.00,,Bombon Individual,3.00,2.52,0.48
,21/03/2024,,31.00,23.21,7.79
1.00,,Senzao Guarana 2lts,31.00,23.21,7.79
,21/03/2024,,18.00,13.57,4.43
1.00,,Fanta Naranja 600ml,18.00,13.57,4.43
,21/03/2024,,40.00,30.71,9.29
4.00,,Vaso Individual del #8 1pza,4.00,1.60,2.40
1.00,,Valle Frut Citrus 3lt,36.00,29.11,6.89
,21/03/2024,,75.00,59.13,15.87
1.00,,Coca Retornable 3LTS 3068,38.00,31.04,6.96
